"year","month","state","primary_mode","etiology","etiology_status","setting","illnesses","hospitalizations","deaths","food_contaminated_ingredient","ifsac_category","water_exposure","etiology_category","setting_category"
2001,11,"New York","Food","Norovirus unknown","Confirmed","Other",28,0,0,,,,"Viral","Other"
2001,11,"Florida","Food","Neurotoxic shellfish poison","Suspected","Private home/residence",2,1,0,,"Multiple",,"Chemical","Home"
2001,11,"Tennessee","Food","","","Restaurant: Other",2,0,0,,,,"Unknown","Food Service"
2001,11,"New York","Food","Norovirus Genogroup I","Suspected","Other;Caterer",30,0,0,,,,"Viral","Food Service"
2001,11,"Maryland","Food","Salmonella enterica","Confirmed","Private home/residence",7,1,0,,,,"Bacterial","Home"
2001,11,"Florida","Food","","","Restaurant: Other",5,0,0,,,,"Unknown","Food Service"
2001,11,"Washington","Food","","","Restaurant: Other",2,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"Washington","Food","","","Restaurant: Other",2,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"Louisiana","Food","Clostridium perfringens","Confirmed","School/college/university",87,0,0,"turkey","Turkey",,"Bacterial","School"
2001,11,"Oregon","Food","Norovirus Genogroup I","Confirmed","Restaurant: Other",26,0,0,,,,"Viral","Food Service"
2001,11,"Washington","Food","","","Caterer",7,0,0,,"Turkey",,"Unknown","Food Service"
2001,11,"Georgia","Food","Norovirus Genogroup I","Confirmed","School/college/university",53,0,0,,,,"Viral","School"
2001,11,"Georgia","Food","","","School/college/university",25,0,0,,,,"Unknown","School"
2001,11,"Florida","Food","","","Restaurant: Other",3,0,0,,"Beef",,"Unknown","Food Service"
2001,11,"Florida","Food","Vibrio parahaemolyticus","Suspected","Restaurant: Other",4,0,0,,"Multiple",,"Bacterial","Food Service"
2001,11,"Florida","Food","Norovirus unknown","Suspected","Restaurant: Other",11,0,0,,"Multiple",,"Viral","Food Service"
2001,11,"Florida","Food","","","Restaurant: Other",2,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"New York","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",9,0,0,"leafy green","Vegetable Row Crops",,"Viral","Food Service"
2001,11,"Florida","Food","","","Restaurant: Other",3,0,0,,,,"Unknown","Food Service"
2001,11,"North Carolina","Food","Escherichia coli, Shiga toxin-producing","Confirmed","School/college/university",202,11,0,,"Dairy",,"Bacterial","School"
